    ,color          ,director_name                   ,duration,actor_3_facebook_likes,actor_2_name                ,actor_1_facebook_likes,gross      ,genres                                                          ,actor_1_name               ,num_voted_users,actor_3_name                 ,language  ,country             ,content_rating,budget       ,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
10  ,Color          ,Tim Burton                      ,108.0   ,11000.0               ,Alan Rickman                ,40000.0               ,334185206.0,Adventure|Family|Fantasy                                        ,Johnny Depp                ,306320.0       ,Anne Hathaway                ,English   ,USA                 ,PG            ,200000000.0  ,2010.0    ,25000.0               ,6.5       ,1.85        ,24000.0
11  ,Color          ,Brett Ratner                    ,104.0   ,560.0                 ,Kelsey Grammer              ,20000.0               ,234360014.0,Action|Adventure|Fantasy|Sci-Fi|Thriller                        ,Hugh Jackman               ,383427.0       ,Daniel Cudmore               ,English   ,Canada              ,PG-13         ,210000000.0  ,2006.0    ,808.0                 ,6.8       ,2.35        ,0.0
12  ,Color          ,Dan Scanlon                     ,104.0   ,760.0                 ,Tyler Labine                ,12000.0               ,268488329.0,Adventure|Animation|Comedy|Family|Fantasy                       ,Steve Buscemi              ,235025.0       ,Sean Hayes                   ,English   ,USA                 ,G             ,200000000.0  ,2013.0    ,779.0                 ,7.3       ,1.85        ,44000.0
13  ,Color          ,Michael Bay                     ,150.0   ,464.0                 ,Kevin Dunn                  ,894.0                 ,402076689.0,Action|Adventure|Sci-Fi                                         ,Glenn Morshower            ,323207.0       ,Ramon Rodriguez              ,English   ,USA                 ,PG-13         ,200000000.0  ,2009.0    ,581.0                 ,6.0       ,2.35        ,0.0
14  ,Color          ,Michael Bay                     ,165.0   ,808.0                 ,Sophia Myles                ,974.0                 ,245428137.0,Action|Adventure|Sci-Fi                                         ,Bingbing Li                ,242420.0       ,Kelsey Grammer               ,English   ,USA                 ,PG-13         ,210000000.0  ,2014.0    ,956.0                 ,5.7       ,2.35        ,56000.0
15  ,Color          ,Sam Raimi                       ,130.0   ,11000.0               ,Mila Kunis                  ,44000.0               ,234903076.0,Adventure|Family|Fantasy                                        ,Tim Holmes                 ,175409.0       ,James Franco                 ,English   ,USA                 ,PG            ,215000000.0  ,2013.0    ,15000.0               ,6.4       ,2.35        ,60000.0
16  ,Color          ,Marc Webb                       ,142.0   ,825.0                 ,Andrew Garfield             ,15000.0               ,202853933.0,Action|Adventure|Fantasy|Sci-Fi                                 ,Emma Stone                 ,321227.0       ,B.J. Novak                   ,English   ,USA                 ,PG-13         ,200000000.0  ,2014.0    ,10000.0               ,6.7       ,2.35        ,41000.0
17  ,Color          ,Joseph Kosinski                 ,125.0   ,1000.0                ,Olivia Wilde                ,12000.0               ,172051787.0,Action|Adventure|Sci-Fi                                         ,Jeff Bridges               ,264183.0       ,James Frain                  ,English   ,USA                 ,PG            ,170000000.0  ,2010.0    ,10000.0               ,6.8       ,2.35        ,30000.0
18  ,Color          ,John Lasseter                   ,106.0   ,776.0                 ,Thomas Kretschmann          ,1000.0                ,191450875.0,Adventure|Animation|Comedy|Family|Sport                         ,Joe Mantegna               ,101178.0       ,Eddie Izzard                 ,English   ,USA                 ,G             ,200000000.0  ,2011.0    ,919.0                 ,6.3       ,2.35        ,10000.0
19  ,Color          ,Martin Campbell                 ,123.0   ,326.0                 ,Temuera Morrison            ,16000.0               ,116593191.0,Action|Adventure|Sci-Fi                                         ,Ryan Reynolds              ,223393.0       ,Taika Waititi                ,English   ,USA                 ,PG-13         ,200000000.0  ,2011.0    ,368.0                 ,5.6       ,2.35        ,24000.0
20  ,Color          ,Lee Unkrich                     ,103.0   ,721.0                 ,John Ratzenberger           ,15000.0               ,414984497.0,Adventure|Animation|Comedy|Family|Fantasy                       ,Tom Hanks                  ,544884.0       ,Don Rickles                  ,English   ,USA                 ,G             ,200000000.0  ,2010.0    ,1000.0                ,8.3       ,1.85        ,30000.0
21  ,Color          ,McG                             ,118.0   ,988.0                 ,Bryce Dallas Howard         ,23000.0               ,125320003.0,Action|Adventure|Sci-Fi                                         ,Christian Bale             ,286095.0       ,Common                       ,English   ,USA                 ,PG-13         ,200000000.0  ,2009.0    ,3000.0                ,6.6       ,2.35        ,0.0
22  ,Color          ,James Wan                       ,140.0   ,14000.0               ,Paul Walker                 ,26000.0               ,350034110.0,Action|Crime|Thriller                                           ,Jason Statham              ,278232.0       ,Vin Diesel                   ,English   ,USA                 ,PG-13         ,190000000.0  ,2015.0    ,23000.0               ,7.2       ,2.35        ,94000.0
23  ,Color          ,Marc Forster                    ,123.0   ,1000.0                ,Brad Pitt                   ,17000.0               ,202351611.0,Action|Adventure|Horror|Sci-Fi|Thriller                         ,Peter Capaldi              ,465019.0       ,Mireille Enos                ,English   ,USA                 ,PG-13         ,190000000.0  ,2013.0    ,11000.0               ,7.0       ,2.35        ,129000.0
24  ,Color          ,Bryan Singer                    ,149.0   ,20000.0               ,Peter Dinklage              ,34000.0               ,233914986.0,Action|Adventure|Fantasy|Sci-Fi|Thriller                        ,Jennifer Lawrence          ,514125.0       ,Hugh Jackman                 ,English   ,USA                 ,PG-13         ,200000000.0  ,2014.0    ,22000.0               ,8.0       ,2.35        ,82000.0
25  ,Color          ,J.J. Abrams                     ,132.0   ,928.0                 ,Bruce Greenwood             ,19000.0               ,228756232.0,Action|Adventure|Sci-Fi                                         ,Benedict Cumberbatch       ,395573.0       ,Noel Clarke                  ,English   ,USA                 ,PG-13         ,190000000.0  ,2013.0    ,981.0                 ,7.8       ,2.35        ,92000.0
26  ,Color          ,Bryan Singer                    ,114.0   ,140.0                 ,Ewen Bremner                ,979.0                 ,65171860.0 ,Adventure|Fantasy                                               ,Eddie Marsan               ,106416.0       ,Ralph Brown                  ,English   ,USA                 ,PG-13         ,195000000.0  ,2013.0    ,557.0                 ,6.3       ,2.35        ,22000.0
27  ,Color          ,Baz Luhrmann                    ,143.0   ,77.0                  ,Elizabeth Debicki           ,29000.0               ,144812796.0,Drama|Romance                                                   ,Leonardo DiCaprio          ,362912.0       ,Steve Bisley                 ,English   ,Australia           ,PG-13         ,105000000.0  ,2013.0    ,509.0                 ,7.3       ,2.35        ,115000.0
28  ,Color          ,Mike Newell                     ,116.0   ,236.0                 ,Richard Coyle               ,15000.0               ,90755643.0 ,Action|Adventure|Fantasy|Romance                                ,Jake Gyllenhaal            ,222403.0       ,Reece Ritchie                ,English   ,USA                 ,PG-13         ,200000000.0  ,2010.0    ,567.0                 ,6.6       ,2.35        ,23000.0
29  ,Color          ,Guillermo del Toro              ,131.0   ,919.0                 ,Clifton Collins Jr.         ,16000.0               ,101785482.0,Action|Adventure|Sci-Fi                                         ,Charlie Hunnam             ,381148.0       ,Larry Joe Campbell           ,English   ,USA                 ,PG-13         ,190000000.0  ,2013.0    ,968.0                 ,7.0       ,1.85        ,83000.0
30  ,Color          ,Michael Bay                     ,154.0   ,581.0                 ,Lester Speight              ,894.0                 ,352358779.0,Action|Adventure|Sci-Fi                                         ,Glenn Morshower            ,326180.0       ,Kevin Dunn                   ,English   ,USA                 ,PG-13         ,195000000.0  ,2011.0    ,829.0                 ,6.3       ,2.35        ,46000.0
31  ,Color          ,Steven Spielberg                ,122.0   ,1000.0                ,Ray Winstone                ,11000.0               ,317011114.0,Action|Adventure|Fantasy                                        ,Harrison Ford              ,333847.0       ,Jim Broadbent                ,English   ,USA                 ,PG-13         ,185000000.0  ,2008.0    ,1000.0                ,6.2       ,2.35        ,5000.0
32  ,Color          ,Peter Sohn                      ,93.0    ,113.0                 ,Jack McGraw                 ,275.0                 ,123070338.0,Adventure|Animation|Comedy|Family|Fantasy                       ,A.J. Buckley               ,62836.0        ,Peter Sohn                   ,English   ,USA                 ,PG            ,             ,2015.0    ,150.0                 ,6.8       ,2.35        ,20000.0
33  ,Color          ,Mark Andrews                    ,93.0    ,838.0                 ,John Ratzenberger           ,2000.0                ,237282182.0,Adventure|Animation|Comedy|Family|Fantasy                       ,Kelly Macdonald            ,273556.0       ,Julie Walters                ,English   ,USA                 ,PG            ,185000000.0  ,2012.0    ,1000.0                ,7.2       ,2.35        ,39000.0
34  ,Color          ,Justin Lin                      ,122.0   ,105.0                 ,Melissa Roxburgh            ,998.0                 ,130468626.0,Action|Adventure|Sci-Fi|Thriller                                ,Sofia Boutella             ,53607.0        ,Lydia Wilson                 ,English   ,USA                 ,PG-13         ,185000000.0  ,2016.0    ,119.0                 ,7.5       ,2.35        ,30000.0
35  ,Color          ,Andrew Stanton                  ,98.0    ,522.0                 ,Fred Willard                ,1000.0                ,223806889.0,Adventure|Animation|Family|Sci-Fi                               ,John Ratzenberger          ,718837.0       ,Jeff Garlin                  ,English   ,USA                 ,G             ,180000000.0  ,2008.0    ,729.0                 ,8.4       ,2.35        ,16000.0
36  ,Color          ,Brett Ratner                    ,91.0    ,173.0                 ,Dana Ivey                   ,268.0                 ,140080850.0,Action|Comedy|Crime|Thriller                                    ,Tzi Ma                     ,121084.0       ,Noémie Lenoir                ,English   ,USA                 ,PG-13         ,140000000.0  ,2007.0    ,268.0                 ,6.2       ,2.35        ,0.0
37  ,Color          ,Roland Emmerich                 ,158.0   ,310.0                 ,Liam James                  ,1000.0                ,166112167.0,Action|Adventure|Sci-Fi                                         ,Oliver Platt               ,283418.0       ,Tom McCarthy                 ,English   ,USA                 ,PG-13         ,200000000.0  ,2009.0    ,468.0                 ,5.8       ,2.35        ,13000.0
38  ,Color          ,Robert Zemeckis                 ,96.0    ,10000.0               ,Colin Firth                 ,18000.0               ,137850096.0,Animation|Drama|Family|Fantasy                                  ,Robin Wright               ,72809.0        ,Gary Oldman                  ,English   ,USA                 ,PG            ,200000000.0  ,2009.0    ,14000.0               ,6.8       ,2.35        ,0.0
39  ,Color          ,Lana Wachowski                  ,127.0   ,13000.0               ,Mila Kunis                  ,17000.0               ,47375327.0 ,Action|Adventure|Sci-Fi                                         ,Channing Tatum             ,139593.0       ,Eddie Redmayne               ,English   ,USA                 ,PG-13         ,176000000.0  ,2015.0    ,15000.0               ,5.4       ,2.35        ,44000.0
40  ,Color          ,David Yates                     ,110.0   ,103.0                 ,Alexander Skarsgård         ,11000.0               ,124051759.0,Action|Adventure|Drama|Romance                                  ,Christoph Waltz            ,42372.0        ,Casper Crump                 ,English   ,USA                 ,PG-13         ,180000000.0  ,2016.0    ,10000.0               ,6.6       ,2.35        ,29000.0
41  ,Color          ,Andrew Adamson                  ,150.0   ,82.0                  ,Kiran Shah                  ,1000.0                ,291709845.0,Adventure|Family|Fantasy                                        ,Jim Broadbent              ,286506.0       ,Shane Rangi                  ,English   ,USA                 ,PG            ,180000000.0  ,2005.0    ,190.0                 ,6.9       ,2.35        ,0.0
42  ,Color          ,Bryan Singer                    ,144.0   ,1000.0                ,Michael Fassbender          ,34000.0               ,154985087.0,Action|Adventure|Sci-Fi                                         ,Jennifer Lawrence          ,148379.0       ,Tye Sheridan                 ,English   ,USA                 ,PG-13         ,178000000.0  ,2016.0    ,13000.0               ,7.3       ,2.35        ,54000.0
43  ,Color          ,Christopher Nolan               ,152.0   ,11000.0               ,Heath Ledger                ,23000.0               ,533316061.0,Action|Crime|Drama|Thriller                                     ,Christian Bale             ,1676169.0      ,Morgan Freeman               ,English   ,USA                 ,PG-13         ,185000000.0  ,2008.0    ,13000.0               ,9.0       ,2.35        ,37000.0
44  ,Color          ,Pete Docter                     ,96.0    ,262.0                 ,Delroy Lindo                ,1000.0                ,292979556.0,Adventure|Animation|Comedy|Family                               ,John Ratzenberger          ,665575.0       ,Jess Harnell                 ,English   ,USA                 ,PG            ,175000000.0  ,2009.0    ,848.0                 ,8.3       ,1.85        ,27000.0
45  ,Color          ,Rob Letterman                   ,94.0    ,459.0                 ,Rainn Wilson                ,1000.0                ,198332128.0,Action|Adventure|Animation|Comedy|Family|Sci-Fi                 ,Amy Poehler                ,114553.0       ,Stephen Colbert              ,English   ,USA                 ,PG            ,175000000.0  ,2009.0    ,973.0                 ,6.5       ,2.35        ,0.0
46  ,Color          ,Jon Favreau                     ,126.0   ,4000.0                ,Jeff Bridges                ,21000.0               ,318298180.0,Action|Adventure|Sci-Fi                                         ,Robert Downey Jr.          ,696338.0       ,Jon Favreau                  ,English   ,USA                 ,PG-13         ,140000000.0  ,2008.0    ,12000.0               ,7.9       ,2.35        ,10000.0
47  ,Color          ,Martin Scorsese                 ,126.0   ,1000.0                ,Christopher Lee             ,17000.0               ,73820094.0 ,Adventure|Drama|Family|Mystery                                  ,Chloë Grace Moretz         ,245333.0       ,Ray Winstone                 ,English   ,USA                 ,PG            ,170000000.0  ,2011.0    ,16000.0               ,7.5       ,1.85        ,42000.0
48  ,Color          ,Sam Mendes                      ,143.0   ,393.0                 ,Helen McCrory               ,883.0                 ,304360277.0,Action|Adventure|Thriller                                       ,Albert Finney              ,522030.0       ,Rory Kinnear                 ,English   ,UK                  ,PG-13         ,200000000.0  ,2012.0    ,563.0                 ,7.8       ,2.35        ,80000.0
49  ,Color          ,Rob Cohen                       ,112.0   ,595.0                 ,Brendan Fraser              ,5000.0                ,102176165.0,Action|Adventure|Fantasy|Horror|Thriller                        ,Jet Li                     ,117927.0       ,Russell Wong                 ,English   ,USA                 ,PG-13         ,145000000.0  ,2008.0    ,3000.0                ,5.2       ,2.35        ,0.0
50  ,Color          ,David Ayer                      ,123.0   ,329.0                 ,Robin Atkin Downes          ,10000.0               ,161087183.0,Action|Adventure|Comedy|Sci-Fi                                  ,Will Smith                 ,118992.0       ,Ike Barinholtz               ,English   ,USA                 ,PG-13         ,175000000.0  ,2016.0    ,336.0                 ,6.9       ,2.35        ,80000.0
51  ,Color          ,Tom Shadyac                     ,96.0    ,7000.0                ,Morgan Freeman              ,87000.0               ,100289690.0,Comedy|Family|Fantasy                                           ,Jimmy Bennett              ,115099.0       ,Steve Carell                 ,English   ,USA                 ,PG            ,175000000.0  ,2007.0    ,11000.0               ,5.4       ,2.35        ,2000.0
52  ,Color          ,Doug Liman                      ,113.0   ,509.0                 ,Lara Pulver                 ,10000.0               ,100189501.0,Action|Adventure|Sci-Fi                                         ,Tom Cruise                 ,431620.0       ,Noah Taylor                  ,English   ,USA                 ,PG-13         ,178000000.0  ,2014.0    ,854.0                 ,7.9       ,2.35        ,77000.0
53  ,Color          ,Kevin Reynolds                  ,176.0   ,60.0                  ,Rick Aviles                 ,711.0                 ,88246220.0 ,Action|Adventure|Sci-Fi|Thriller                                ,Jeanne Tripplehorn         ,144337.0       ,Zakes Mokae                  ,English   ,USA                 ,PG-13         ,175000000.0  ,1995.0    ,60.0                  ,6.1       ,1.85        ,0.0
54  ,Color          ,Stephen Sommers                 ,118.0   ,570.0                 ,Dennis Quaid                ,23000.0               ,150167630.0,Action|Adventure|Sci-Fi|Thriller                                ,Joseph Gordon-Levitt       ,174578.0       ,Leo Howard                   ,English   ,USA                 ,PG-13         ,175000000.0  ,2009.0    ,2000.0                ,5.8       ,2.35        ,0.0
55  ,Color          ,Pete Docter                     ,95.0    ,384.0                 ,Mindy Kaling                ,1000.0                ,356454367.0,Adventure|Animation|Comedy|Drama|Family|Fantasy                 ,Amy Poehler                ,345198.0       ,Phyllis Smith                ,English   ,USA                 ,PG            ,175000000.0  ,2015.0    ,767.0                 ,8.3       ,1.85        ,118000.0
56  ,Color          ,Jon Favreau                     ,106.0   ,591.0                 ,Bill Murray                 ,19000.0               ,362645141.0,Adventure|Drama|Family|Fantasy                                  ,Scarlett Johansson         ,106072.0       ,Garry Shandling              ,English   ,UK                  ,PG            ,175000000.0  ,2016.0    ,13000.0               ,7.8       ,1.85        ,65000.0
57  ,Color          ,Jon Favreau                     ,124.0   ,4000.0                ,Scarlett Johansson          ,21000.0               ,312057433.0,Action|Adventure|Sci-Fi                                         ,Robert Downey Jr.          ,522371.0       ,Jon Favreau                  ,English   ,USA                 ,PG-13         ,200000000.0  ,2010.0    ,19000.0               ,7.0       ,2.35        ,18000.0
58  ,Color          ,Rupert Sanders                  ,132.0   ,11000.0               ,Kristen Stewart             ,26000.0               ,155111815.0,Action|Adventure|Drama|Fantasy                                  ,Chris Hemsworth            ,228554.0       ,Sam Claflin                  ,English   ,USA                 ,PG-13         ,170000000.0  ,2012.0    ,17000.0               ,6.1       ,2.35        ,53000.0
59  ,Color          ,Robert Stromberg                ,97.0    ,846.0                 ,Sharlto Copley              ,11000.0               ,241407328.0,Action|Adventure|Family|Fantasy|Romance                         ,Angelina Jolie Pitt        ,252257.0       ,Sam Riley                    ,English   ,USA                 ,PG            ,180000000.0  ,2014.0    ,2000.0                ,7.0       ,2.35        ,89000.0
60  ,Color          ,Matt Reeves                     ,130.0   ,884.0                 ,Judy Greer                  ,10000.0               ,208543795.0,Action|Adventure|Drama|Sci-Fi                                   ,Gary Oldman                ,317542.0       ,Kodi Smit-McPhee             ,English   ,USA                 ,PG-13         ,170000000.0  ,2014.0    ,2000.0                ,7.6       ,1.85        ,45000.0
61  ,Color          ,Roland Joffé                    ,109.0   ,283.0                 ,Alice Englert               ,622.0                 ,           ,Action|Adventure|Romance|Sci-Fi                                 ,Tamsin Egerton             ,2138.0         ,Bipasha Basu                 ,English   ,Belgium             ,R             ,             ,2015.0    ,525.0                 ,4.5       ,            ,677.0
62  ,Color          ,Carl Rinsch                     ,128.0   ,982.0                 ,Cary-Hiroyuki Tagawa        ,18000.0               ,38297305.0 ,Action|Adventure|Drama|Fantasy                                  ,Keanu Reeves               ,116994.0       ,Jin Akanishi                 ,English   ,USA                 ,PG-13         ,175000000.0  ,2013.0    ,1000.0                ,6.3       ,2.35        ,35000.0
63  ,Color          ,Anthony Russo                   ,136.0   ,2000.0                ,Chris Evans                 ,19000.0               ,259746958.0,Action|Adventure|Sci-Fi                                         ,Scarlett Johansson         ,496749.0       ,Hayley Atwell                ,English   ,USA                 ,PG-13         ,170000000.0  ,2014.0    ,11000.0               ,7.8       ,2.35        ,55000.0
64  ,Color          ,Mike Mitchell                   ,93.0    ,213.0                 ,Kathy Griffin               ,4000.0                ,238371987.0,Adventure|Animation|Comedy|Family|Fantasy                       ,Jon Hamm                   ,138661.0       ,Mary Kay Place               ,English   ,USA                 ,PG            ,165000000.0  ,2010.0    ,225.0                 ,6.4       ,2.35        ,0.0
65  ,Color          ,Brad Bird                       ,130.0   ,604.0                 ,Chris Bauer                 ,2000.0                ,93417865.0 ,Action|Adventure|Family|Mystery|Sci-Fi                          ,Judy Greer                 ,128306.0       ,Thomas Robinson              ,English   ,USA                 ,PG            ,190000000.0  ,2015.0    ,638.0                 ,6.5       ,2.2         ,37000.0
66  ,Color          ,Don Hall                        ,102.0   ,562.0                 ,Daniel Henney               ,756.0                 ,222487711.0,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi           ,Damon Wayans Jr.           ,279093.0       ,Abraham Benrubi              ,English   ,USA                 ,PG            ,165000000.0  ,2014.0    ,719.0                 ,7.9       ,2.39        ,41000.0
67  ,Color          ,Rich Moore                      ,101.0   ,833.0                 ,Sarah Silverman             ,975.0                 ,189412677.0,Adventure|Animation|Comedy|Family|Sci-Fi                        ,Jack McBrayer              ,272534.0       ,Joe Lo Truglio               ,English   ,USA                 ,PG            ,165000000.0  ,2012.0    ,931.0                 ,7.8       ,2.35        ,40000.0
68  ,Color          ,Robert Zemeckis                 ,100.0   ,267.0                 ,Eddie Deezen                ,15000.0               ,665426.0   ,Adventure|Animation|Family|Fantasy                              ,Tom Hanks                  ,120798.0       ,Peter Scolari                ,English   ,USA                 ,G             ,165000000.0  ,2004.0    ,726.0                 ,6.6       ,2.35        ,10000.0
69  ,Color          ,Roland Emmerich                 ,120.0   ,535.0                 ,Sela Ward                   ,890.0                 ,102315545.0,Action|Adventure|Sci-Fi                                         ,Vivica A. Fox              ,58137.0        ,Judd Hirsch                  ,English   ,USA                 ,PG-13         ,165000000.0  ,2016.0    ,812.0                 ,5.5       ,2.35        ,67000.0
70  ,Color          ,Dean DeBlois                    ,98.0    ,759.0                 ,America Ferrera             ,18000.0               ,217387997.0,Adventure|Animation|Family|Fantasy                              ,Gerard Butler              ,485430.0       ,Craig Ferguson               ,English   ,USA                 ,PG            ,165000000.0  ,2010.0    ,953.0                 ,8.2       ,2.35        ,33000.0
71  ,Color          ,Jonathan Mostow                 ,109.0   ,191.0                 ,M.C. Gainey                 ,648.0                 ,150350192.0,Action|Sci-Fi                                                   ,Nick Stahl                 ,305340.0       ,Carolyn Hennesy              ,English   ,USA                 ,R             ,200000000.0  ,2003.0    ,284.0                 ,6.4       ,2.35        ,0.0
72  ,Color          ,James Gunn                      ,121.0   ,3000.0                ,Vin Diesel                  ,14000.0               ,333130696.0,Action|Adventure|Sci-Fi                                         ,Bradley Cooper             ,682155.0       ,Djimon Hounsou               ,English   ,USA                 ,PG-13         ,170000000.0  ,2014.0    ,14000.0               ,8.1       ,2.35        ,96000.0
73  ,Color          ,Christopher Nolan               ,169.0   ,6000.0                ,Anne Hathaway               ,11000.0               ,187991439.0,Adventure|Drama|Sci-Fi                                          ,Matthew McConaughey        ,928227.0       ,Mackenzie Foy                ,English   ,USA                 ,PG-13         ,165000000.0  ,2014.0    ,11000.0               ,8.6       ,2.35        ,349000.0
74  ,Color          ,Christopher Nolan               ,148.0   ,23000.0               ,Tom Hardy                   ,29000.0               ,292568851.0,Action|Adventure|Sci-Fi|Thriller                                ,Leonardo DiCaprio          ,1468200.0      ,Joseph Gordon-Levitt         ,English   ,USA                 ,PG-13         ,160000000.0  ,2010.0    ,27000.0               ,8.8       ,2.35        ,175000.0
75  ,Color          ,Hideaki Anno                    ,120.0   ,12.0                  ,Shin'ya Tsukamoto           ,544.0                 ,           ,Action|Adventure|Drama|Horror|Sci-Fi                            ,Mark Chinnery              ,374.0          ,Atsuko Maeda                 ,Japanese  ,Japan               ,              ,             ,2016.0    ,106.0                 ,8.2       ,2.35        ,0.0
76  ,Color          ,Peter Jackson                   ,182.0   ,773.0                 ,Adam Brown                  ,5000.0                ,303001229.0,Adventure|Fantasy                                               ,Aidan Turner               ,637246.0       ,James Nesbitt                ,English   ,USA                 ,PG-13         ,180000000.0  ,2012.0    ,972.0                 ,7.9       ,2.35        ,166000.0
77  ,Color          ,Rob Cohen                       ,106.0   ,4000.0                ,Vin Diesel                  ,23000.0               ,144512310.0,Action|Crime|Thriller                                           ,Paul Walker                ,272223.0       ,Jordana Brewster             ,English   ,USA                 ,PG-13         ,38000000.0   ,2001.0    ,14000.0               ,6.7       ,2.35        ,14000.0
78  ,Color          ,David Fincher                   ,166.0   ,919.0                 ,Jason Flemyng               ,11000.0               ,127490802.0,Drama|Fantasy|Romance                                           ,Brad Pitt                  ,459346.0       ,Julia Ormond                 ,English   ,USA                 ,PG-13         ,150000000.0  ,2008.0    ,1000.0                ,7.8       ,2.35        ,23000.0
79  ,Color          ,Matthew Vaughn                  ,132.0   ,1000.0                ,Michael Fassbender          ,34000.0               ,146405371.0,Action|Adventure|Sci-Fi                                         ,Jennifer Lawrence          ,518537.0       ,Oliver Platt                 ,English   ,USA                 ,PG-13         ,160000000.0  ,2011.0    ,13000.0               ,7.8       ,2.35        ,54000.0
80  ,Color          ,Francis Lawrence                ,137.0   ,14000.0               ,Philip Seymour Hoffman      ,34000.0               ,281666058.0,Adventure|Sci-Fi                                                ,Jennifer Lawrence          ,166137.0       ,Josh Hutcherson              ,English   ,USA                 ,PG-13         ,160000000.0  ,2015.0    ,22000.0               ,6.6       ,2.35        ,38000.0
81  ,Color          ,Jon Turteltaub                  ,109.0   ,370.0                 ,Omar Benson Miller          ,12000.0               ,63143812.0 ,Action|Adventure|Family|Fantasy                                 ,Nicolas Cage               ,124185.0       ,Robert Capron                ,English   ,USA                 ,PG            ,150000000.0  ,2010.0    ,418.0                 ,6.1       ,2.35        ,11000.0
82  ,Color          ,Wolfgang Petersen               ,98.0    ,702.0                 ,Mike Vogel                  ,87000.0               ,60655503.0 ,Action|Adventure|Drama|Thriller                                 ,Jimmy Bennett              ,82380.0        ,Andre Braugher               ,English   ,USA                 ,PG-13         ,160000000.0  ,2006.0    ,2000.0                ,5.6       ,2.35        ,0.0
83  ,Color          ,James Bobin                     ,113.0   ,11000.0               ,Alan Rickman                ,40000.0               ,76846624.0 ,Adventure|Family|Fantasy                                        ,Johnny Depp                ,21352.0        ,Anne Hathaway                ,English   ,USA                 ,PG            ,170000000.0  ,2016.0    ,25000.0               ,6.4       ,1.85        ,30000.0
